date,Bills,Entertainment,Food,Fuel,Grocery,Travel
2015-06-07,8631533.523926167,6010326.979642669,6774176.876968611,6119881.212489569,5990934.307956605,1188063.407520972
2015-06-14,12813529.309355576,9237955.656776626,9571903.009323653,9038477.218745444,8129154.494052458,885199.5684489948
2015-06-21,11220175.013392081,8123453.38585965,7870029.939991313,7665849.272003092,6654889.292409996,1243863.750998389
2015-06-28,8950629.06787215,8107536.175877536,8652139.97457929,9086278.097895958,7179485.779747163,742507.2400979685
2015-07-05,8932515.942285903,9271822.36310661,9895104.29993275,8131274.520932535,7719516.523919178,882951.36694953
2015-07-12,10245645.304392844,8353265.064156266,8158945.951125728,10061667.498481402,8562135.562635744,806378.1919920916
2015-07-19,10311611.86535683,8258195.357609363,7788923.114830483,8538011.740801271,8106763.00524696,707895.2812646513
